name,pa,xwoba,barrel_batted_rate,hard_hit_percent,k_percent,bb_percent,whiff_percent,SMASH,tier
"McNeil, Jeff",289,0.298,0.9,31.6,12.5,7.3,16.3,49.0,WHITE
"Walton, Donovan",97,0.312,5.4,37.8,18.6,5.2,24.0,49.0,WHITE
"Monasterio, Andruw",161,0.286,8.8,38.6,23.6,5.6,18.1,49.0,WHITE
"Ortiz, Joey",230,0.296,3.6,32.7,17.8,9.1,19.4,49.0,WHITE
"Bericoto, Victor",59,0.289,14.0,46.5,25.4,1.7,27.1,49.0,WHITE
"Heim, Jonah",168,0.302,7.3,30.1,18.5,7.7,23.5,49.0,WHITE
"India, Jonathan",58,0.284,5.7,31.4,22.4,13.8,22.6,48.9,WHITE
"Melendez, MJ",144,0.281,11.1,55.6,34.7,11.8,34.5,48.9,WHITE
"Beavers, Dylan",140,0.296,5.6,36.7,24.3,11.4,23.8,48.9,WHITE
"Marte, Starling",125,0.309,11.3,38.8,27.2,6.4,28.6,48.9,WHITE
"Martínez, Angel",243,0.306,7.9,37.3,21.8,2.9,19.2,48.9,WHITE
"Vientos, Mark",254,0.31,10.1,43.8,24.0,4.7,31.5,48.9,WHITE
"Higashioka, Kyle",169,0.295,8.3,38.9,25.4,10.1,27.6,48.8,WHITE
"Williamson, Ben",215,0.297,2.0,35.3,19.5,8.8,16.9,48.8,WHITE
"Palacios, Richie",216,0.311,3.4,25.3,18.1,11.1,22.1,48.8,WHITE
"Young, Jacob",284,0.298,6.2,35.5,19.0,5.3,20.3,48.8,WHITE
"Kreidler, Ryan",137,0.301,8.2,34.0,19.7,8.8,30.2,48.7,WHITE
"Benson, Will",114,0.3,12.7,37.9,33.3,14.0,36.1,48.7,WHITE
"Cronenworth, Jake",153,0.297,6.9,31.4,21.6,9.8,23.8,48.7,WHITE
"Chapman, Matt",352,0.286,6.6,35.8,23.0,10.5,23.1,48.7,WHITE
"Carter, Evan",255,0.29,7.1,36.5,24.7,12.5,27.9,48.7,WHITE
"Gonzalez, Jacob",97,0.307,1.6,42.2,22.7,8.2,21.0,48.6,WHITE
"Gasper, Mickey",119,0.28,4.5,36.4,17.6,7.6,18.5,48.6,WHITE
"Manzardo, Kyle",297,0.303,10.8,39.8,32.0,10.8,30.7,48.6,WHITE
"Volpe, Anthony",151,0.299,4.1,33.7,22.5,12.6,25.5,48.6,WHITE
"Rocchio, Brayan",345,0.305,2.7,31.2,14.2,7.8,23.5,48.5,WHITE
